GRB090926A
Pass 8
RA: 353.56, Dec: -66.37, Error: 0.06 degrees
MET Trigger Time: 275631628.990, Redshift: 2.11
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|      67.103 |   10.86038905 |             2.715 |          EVENT |
|      90.739 |   10.90509582 |             0.814 |          EVENT |
|     891.497 |   10.91474277 |             0.671 |         PHOTON |
|     172.701 |   10.91814262 |             2.016 |          EVENT |
|     591.055 |   10.94350439 |             0.547 |          EVENT |
|      60.595 |   10.98242617 |             2.077 |         PHOTON |
|      71.238 |   11.16458011 |             1.397 |          EVENT |
|      75.740 |   11.22558403 |             2.516 |          EVENT |
|      77.614 |   11.28793573 |             1.227 |          EVENT |
|      93.066 |   11.31549013 |             1.779 |         PHOTON |
|     158.754 |   11.36297429 |             1.424 |         PHOTON |
|     238.066 |   11.36708748 |             0.249 |         PHOTON |
|     144.916 |   11.36758107 |             2.151 |          EVENT |
|     368.696 |   11.44033664 |             0.815 |         PHOTON |
|     225.054 |   11.44147837 |             1.222 |          EVENT |
|      50.549 |   11.46548492 |             1.420 |          EVENT |
|     483.402 |   11.51945156 |             0.074 |         PHOTON |
|     237.018 |   11.55149335 |             0.953 |         PHOTON |
|      46.445 |   11.65054238 |             0.533 |          EVENT |
|      76.143 |   11.67303747 |             2.049 |         PHOTON |
|      63.398 |   11.69403416 |             1.650 |         PHOTON |
|      57.920 |   11.70340532 |             1.758 |          EVENT |
|     236.843 |   11.71950513 |             1.461 |         PHOTON |
|     206.402 |   11.75071830 |             1.683 |          EVENT |
|     220.679 |   11.76835561 |             0.587 |         PHOTON |
|     380.938 |   11.80209970 |             0.471 |         PHOTON |
|    2040.682 |   11.80220687 |             1.562 |         PHOTON |
|     169.535 |   11.81876385 |             0.924 |         PHOTON |
|     176.464 |   11.86859864 |             2.726 |         PHOTON |
|     300.983 |   11.88937110 |             0.684 |          EVENT |
|      56.874 |   11.92833430 |             1.455 |          EVENT |
|     195.915 |   11.94307327 |             1.858 |          EVENT |
|     219.800 |   11.95238483 |             2.228 |          EVENT |
|     246.532 |   12.01150185 |             1.086 |         PHOTON |
|     448.765 |   12.09394920 |             1.383 |         PHOTON |
|      88.591 |   12.09822869 |             1.593 |          EVENT |
|     329.042 |   12.17461866 |             0.722 |          EVENT |
|      38.847 |   12.23738831 |             1.030 |          EVENT |
|      92.535 |   12.27267736 |             2.999 |          EVENT |
|     121.374 |   12.33421385 |             1.753 |         PHOTON |
|      80.749 |   12.36212391 |             2.725 |          EVENT |
|     128.062 |   12.38674194 |             2.368 |          EVENT |
|      76.702 |   12.46376109 |             2.519 |          EVENT |
|     610.878 |   12.46472281 |             0.306 |         PHOTON |
|     778.954 |   12.47047955 |             0.578 |         PHOTON |
|      97.946 |   12.49425846 |             2.787 |         PHOTON |
|     187.900 |   12.55537647 |             2.371 |         PHOTON |
|      51.482 |   12.69995755 |             2.623 |          EVENT |
|      54.074 |   12.83573633 |             0.561 |         PHOTON |
|      62.802 |   12.84422344 |             2.733 |         PHOTON |
|     128.889 |   12.90103203 |             0.997 |         PHOTON |
|     136.640 |   13.12545282 |             2.817 |         PHOTON |
|     117.655 |   13.15474135 |             1.730 |         PHOTON |
|     157.093 |   13.15543866 |             0.586 |          EVENT |
|     290.807 |   13.18089187 |             2.875 |          EVENT |
|     935.760 |   13.52162009 |             0.528 |         PHOTON |
|     107.866 |   13.54170287 |             1.431 |          EVENT |
|     818.673 |   13.56171745 |             2.088 |         PHOTON |
|     899.947 |   13.96372813 |             0.239 |         PHOTON |
|     133.052 |   13.97121763 |             2.913 |          EVENT |
|     276.320 |   13.99751705 |             2.374 |         PHOTON |
|     157.968 |   14.05193847 |             1.422 |         PHOTON |
|     468.277 |   14.11345696 |             2.432 |          EVENT |
|     241.146 |   14.13352782 |             1.264 |         PHOTON |
|     278.030 |   14.21781719 |             0.354 |         PHOTON |
|     611.584 |   14.23437417 |             0.391 |         PHOTON |
|    1059.216 |   14.33653831 |             2.244 |         PHOTON |
|     206.344 |   14.35849887 |             1.883 |         PHOTON |
|     150.615 |   14.59350240 |             1.873 |          EVENT |
|    2210.702 |   14.70218229 |             0.450 |         PHOTON |
|    1101.685 |   14.79802847 |             0.590 |         PHOTON |
|    1265.686 |   14.87899464 |             0.157 |         PHOTON |
|     358.148 |   15.12515152 |             1.548 |         PHOTON |
|      52.192 |   15.18028325 |             1.981 |          EVENT |
|    2662.022 |   15.46516967 |             0.109 |         PHOTON |
|      78.146 |   15.47758472 |             1.948 |          EVENT |
|     115.677 |   15.59720498 |             2.549 |         PHOTON |
|      73.559 |   15.74968916 |             2.860 |          EVENT |
|     392.477 |   15.79452819 |             1.408 |         PHOTON |
|     154.847 |   15.79807073 |             0.271 |         PHOTON |
|     136.686 |   15.82442611 |             1.846 |         PHOTON |
|     201.222 |   15.88501465 |             0.633 |         PHOTON |
|      72.624 |   16.01508707 |             0.373 |          EVENT |
|      46.919 |   16.03583062 |             0.454 |         PHOTON |
|     215.131 |   16.09517539 |             0.971 |         PHOTON |
|     478.237 |   16.18743056 |             2.222 |         PHOTON |
|     239.292 |   16.32243842 |             1.637 |         PHOTON |
|     132.099 |   16.36503977 |             1.191 |         PHOTON |
|    1983.802 |   16.54689419 |             0.077 |         PHOTON |
|     100.070 |   16.58973521 |             1.694 |          EVENT |
|     558.274 |   16.61329269 |             2.907 |          EVENT |
|    2051.132 |   16.67723602 |             0.251 |         PHOTON |
|    2549.045 |   16.86246663 |             0.113 |         PHOTON |
|     210.431 |   16.90268439 |             1.909 |         PHOTON |
|     131.486 |   17.32613647 |             2.736 |         PHOTON |
|     132.922 |   17.45466006 |             2.100 |         PHOTON |
|     647.768 |   17.61451918 |             0.155 |         PHOTON |
|     100.428 |   17.67689008 |             1.072 |         PHOTON |
|      46.455 |   17.74146396 |             1.862 |         PHOTON |
|     391.651 |   17.75050396 |             1.091 |         PHOTON |
|     306.154 |   18.26627064 |             1.283 |          EVENT |
|     740.133 |   18.75306827 |             1.660 |         PHOTON |
|      94.452 |   18.87504500 |             1.786 |          EVENT |
|     367.820 |   18.93322492 |             0.521 |         PHOTON |
|     492.849 |   19.20155442 |             1.317 |         PHOTON |
|     157.764 |   19.24150956 |             1.062 |         PHOTON |
|     152.015 |   19.36522228 |             2.266 |         PHOTON |
|     156.234 |   19.36874545 |             2.718 |          EVENT |
|     165.202 |   19.54869574 |             2.602 |          EVENT |
|     191.526 |   19.75712168 |             0.649 |          EVENT |
|    1789.328 |   19.77007860 |             0.064 |         PHOTON |
|     115.182 |   19.80660546 |             2.244 |         PHOTON |
|      45.558 |   20.06621653 |             1.673 |          EVENT |
|     211.687 |   20.11876863 |             2.624 |         PHOTON |
|     335.847 |   20.17382497 |             1.507 |         PHOTON |
|     608.385 |   20.17810798 |             2.604 |          EVENT |
|     169.611 |   20.51345116 |             1.207 |         PHOTON |
|     172.240 |   21.04644126 |             2.553 |         PHOTON |
|     185.938 |   21.43499708 |             1.026 |         PHOTON |
|     366.800 |   22.48227501 |             0.688 |         PHOTON |
