GRB080916C
Pass 8
RA: 119.89, Dec: -56.70, Error: 0.07 degrees
MET Trigger Time: 243216766.620, Redshift: 4.35
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|    1382.093 |   19.72939977 |             0.056 |         PHOTON |
|     106.776 |   20.71004963 |             1.979 |          EVENT |
|     353.309 |   20.83890757 |             1.031 |          EVENT |
|      41.332 |   21.21599260 |             1.967 |         PHOTON |
|      56.098 |   21.47500467 |             1.849 |          EVENT |
|     695.900 |   22.08652845 |             0.493 |          EVENT |
|     104.719 |   22.12510362 |             1.675 |          EVENT |
|     226.583 |   22.12573591 |             1.733 |         PHOTON |
|     220.710 |   22.19595900 |             2.346 |          EVENT |
|    2568.059 |   22.20877948 |             0.249 |         PHOTON |
|     817.066 |   22.25051889 |             2.549 |          EVENT |
|     958.809 |   22.37451375 |             0.203 |         PHOTON |
|     903.676 |   22.53826350 |             0.484 |         PHOTON |
|     577.443 |   22.56309491 |             0.660 |          EVENT |
|     126.558 |   22.65454403 |             2.716 |         PHOTON |
|      39.375 |   22.86546382 |             2.477 |         PHOTON |
|      55.564 |   22.91782483 |             1.288 |          EVENT |
|      48.266 |   22.99266890 |             1.714 |          EVENT |
|     481.888 |   23.05034915 |             1.215 |         PHOTON |
|     238.275 |   23.22199538 |             0.165 |         PHOTON |
|     445.410 |   23.81360137 |             1.241 |          EVENT |
|     158.310 |   23.86232129 |             1.331 |         PHOTON |
|    1649.137 |   23.92616373 |             0.413 |         PHOTON |
|     225.199 |   24.43173084 |             1.189 |          EVENT |
|      61.260 |   24.82278603 |             0.255 |         PHOTON |
|     197.211 |   24.88652623 |             1.367 |          EVENT |
|     434.980 |   24.88858011 |             1.317 |          EVENT |
|      76.577 |   25.75267786 |             1.103 |          EVENT |
|      83.634 |   25.82597026 |             1.705 |         PHOTON |
|     436.524 |   25.95269874 |             1.255 |         PHOTON |
|    2499.742 |   26.31338692 |             0.029 |         PHOTON |
|    1742.313 |   27.04614997 |             0.438 |         PHOTON |
|     722.764 |   27.30735344 |             0.369 |         PHOTON |
|     542.311 |   27.54664856 |             0.074 |         PHOTON |
|      72.202 |   27.90052783 |             1.671 |          EVENT |
|    6721.313 |   28.20312634 |             0.100 |         PHOTON |
|     764.509 |   29.29040104 |             0.103 |         PHOTON |
|      65.733 |   29.40469745 |             1.883 |          EVENT |
|      59.609 |   29.70471537 |             1.228 |         PHOTON |
|     193.729 |   30.09446624 |             0.670 |          EVENT |
|     188.755 |   30.55618513 |             0.694 |          EVENT |
|     192.267 |   30.98378471 |             0.837 |         PHOTON |
|      61.868 |   30.99218941 |             1.704 |         PHOTON |
|      43.526 |   32.64752465 |             2.987 |          EVENT |
|      43.558 |   33.12192580 |             2.853 |          EVENT |
|     114.118 |   33.63803756 |             1.502 |         PHOTON |
|      73.317 |   34.30281663 |             1.106 |         PHOTON |
|     204.925 |   35.67449304 |             2.679 |          EVENT |
|     115.799 |   35.81809664 |             1.696 |         PHOTON |
|      86.166 |   36.10447541 |             1.108 |          EVENT |
|     228.295 |   36.58739072 |             1.244 |         PHOTON |
