GRB090510
Pass 8
RA: 333.57, Dec: -26.62, Error: 0.05 degrees
MET Trigger Time: 263607781.970, Redshift: 0.9
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|      75.232 |    3.04773933 |             2.777 |          EVENT |
|     496.246 |    3.07825512 |             0.167 |         PHOTON |
|      79.934 |    3.15469643 |             1.462 |         PHOTON |
|    1375.923 |    3.20768026 |             0.236 |         PHOTON |
|      36.144 |    3.26708332 |             1.011 |          EVENT |
|      92.096 |    3.34947911 |             2.073 |         PHOTON |
|     391.641 |    3.37486941 |             0.031 |         PHOTON |
|      64.870 |    3.37609220 |             2.328 |         PHOTON |
|     208.863 |    3.41078019 |             0.358 |         PHOTON |
|    2639.459 |    3.43263209 |             0.262 |         PHOTON |
|     315.842 |    3.51294380 |             2.469 |         PHOTON |
|    3706.507 |    3.67664614 |             0.139 |         PHOTON |
|      57.576 |    4.01782098 |             2.926 |          EVENT |
|      88.370 |    4.09703183 |             1.828 |          EVENT |
|     935.679 |    4.14769545 |             1.832 |          EVENT |
|      98.999 |    4.27859825 |             2.674 |          EVENT |
|      37.903 |    4.30558980 |             0.865 |          EVENT |
|     203.381 |    4.31150553 |             2.443 |         PHOTON |
|     218.895 |    4.40009221 |             1.094 |          EVENT |
|     640.125 |    4.48752949 |             0.404 |         PHOTON |
|      52.926 |    4.58782497 |             0.909 |         PHOTON |
|     826.057 |    4.63619849 |             0.473 |         PHOTON |
|     124.219 |    4.75096396 |             1.624 |         PHOTON |
|      44.389 |    4.81716666 |             1.276 |         PHOTON |
|    1291.432 |    4.91981840 |             0.368 |         PHOTON |
|      73.599 |    5.12182900 |             2.773 |          EVENT |
|     367.090 |    5.28263921 |             2.033 |          EVENT |
|     265.988 |    5.31851402 |             0.925 |         PHOTON |
|     896.890 |    5.35660049 |             2.515 |         PHOTON |
|     553.185 |    5.44247663 |             0.438 |         PHOTON |
|      31.160 |    6.05899251 |             2.110 |          EVENT |
|      54.129 |    6.24464279 |             1.135 |         PHOTON |
|     199.853 |    6.31375831 |             1.501 |         PHOTON |
|      61.378 |    6.37315130 |             2.792 |         PHOTON |
|      48.107 |    6.44456419 |             1.178 |          EVENT |
|      40.165 |    7.11824340 |             0.937 |          EVENT |
|      82.562 |    7.19753751 |             2.130 |          EVENT |
|     119.088 |    7.27545398 |             2.680 |         PHOTON |
|      37.016 |    7.62812826 |             1.663 |          EVENT |
|      61.597 |    7.74807209 |             1.279 |          EVENT |
|     172.184 |    7.83983672 |             1.343 |         PHOTON |
|    1006.635 |    9.29576498 |             0.640 |         PHOTON |
|    1662.099 |    9.64871210 |             0.300 |         PHOTON |
|     332.031 |   10.10851628 |             1.322 |         PHOTON |
|     210.374 |   11.87879616 |             1.413 |          EVENT |
|     138.106 |   12.09319532 |             2.225 |          EVENT |
|     136.897 |   13.67067420 |             1.384 |         PHOTON |
|      98.286 |   14.51296920 |             1.236 |          EVENT |
|     144.063 |   14.89591080 |             2.315 |         PHOTON |
|     147.572 |   15.95058939 |             0.632 |          EVENT |
|      81.317 |   18.75662920 |             2.420 |          EVENT |
|     129.631 |   19.74923396 |             1.340 |         PHOTON |
|      73.012 |   20.18507007 |             1.239 |         PHOTON |
|      98.251 |   20.48568448 |             0.234 |         PHOTON |
|     147.526 |   21.08011734 |             0.835 |         PHOTON |
|     109.317 |   21.28011814 |             0.623 |         PHOTON |
|    1460.020 |   23.11287087 |             0.404 |         PHOTON |
|     129.027 |   23.58535868 |             1.042 |          EVENT |
|     288.014 |   26.53546992 |             2.777 |         PHOTON |
|      54.031 |   27.50971282 |             2.625 |         PHOTON |
