GRB131108A
Pass 8
RA: 156.81, Dec: 9.60, Error: 0.22 degrees
MET Trigger Time: 405636118.760, Redshift: 2.4
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|      36.105 |   22.60919583 |             1.466 |         PHOTON |
|      49.317 |   22.62260050 |             2.661 |          EVENT |
|     795.470 |   22.72676677 |             0.167 |         PHOTON |
|     121.896 |   23.78489423 |             1.654 |         PHOTON |
|     113.260 |   24.80779684 |             1.191 |         PHOTON |
|      78.025 |   25.16566741 |             2.865 |         PHOTON |
|      86.742 |   25.57357186 |             1.909 |         PHOTON |
|     131.769 |   25.97913134 |             1.666 |         PHOTON |
|      82.509 |   26.37203097 |             2.225 |          EVENT |
|      56.580 |   26.84110218 |             1.798 |         PHOTON |
|      57.093 |   27.45609832 |             1.680 |          EVENT |
|      75.968 |   28.16671997 |             2.042 |         PHOTON |
|     142.385 |   28.30345315 |             0.556 |         PHOTON |
|      42.526 |   29.20142728 |             2.081 |          EVENT |
|     104.260 |   29.56156158 |             1.024 |          EVENT |
|      79.077 |   29.96144873 |             2.488 |          EVENT |
|     266.816 |   32.30921960 |             1.564 |         PHOTON |
|     429.556 |   34.92158598 |             1.532 |         PHOTON |
|      55.207 |   35.04070884 |             1.681 |         PHOTON |
|     246.666 |   39.35459661 |             1.134 |         PHOTON |
|      80.635 |   39.43116224 |             1.093 |          EVENT |
|      64.628 |   41.70806390 |             1.289 |          EVENT |
|     171.014 |   43.78320688 |             1.696 |         PHOTON |
|     312.953 |   48.55210924 |             1.001 |         PHOTON |
|     219.523 |   52.53574002 |             2.001 |         PHOTON |
|      49.776 |   56.13664263 |             1.807 |         PHOTON |
|      75.731 |   56.43327510 |             0.888 |          EVENT |
|     144.392 |   63.55529881 |             0.960 |          EVENT |
|      72.809 |   64.42494547 |             1.938 |         PHOTON |
|    1527.646 |   66.32518852 |             0.684 |         PHOTON |
|      76.101 |   69.85734361 |             1.153 |         PHOTON |
|     129.150 |   88.61580813 |             1.581 |          EVENT |
|      60.911 |   88.63740426 |             2.911 |          EVENT |
|     161.701 |   88.91599059 |             2.446 |          EVENT |
|      53.060 |   90.69232941 |             1.417 |         PHOTON |
|     100.911 |   91.86129814 |             1.842 |          EVENT |
|      69.274 |   93.01374578 |             2.847 |         PHOTON |
|      46.871 |  129.29040343 |             2.852 |          EVENT |
|      31.744 |  135.53571892 |             2.384 |         PHOTON |
|     208.933 |  143.09893137 |             2.797 |         PHOTON |
|     142.723 |  159.19140023 |             2.605 |         PHOTON |
|     309.447 |  166.85375774 |             0.363 |         PHOTON |
|     604.462 |  167.64589012 |             1.687 |          EVENT |
|     203.253 |  225.91286695 |             0.996 |          EVENT |
|      66.886 |  244.31830037 |             2.351 |          EVENT |
|      79.191 |  256.86810672 |             0.702 |         PHOTON |
|      90.205 |  299.39817756 |             1.546 |         PHOTON |
|      60.026 |  319.76940829 |             0.977 |          EVENT |
|     157.870 |  373.17804390 |             2.314 |         PHOTON |
|      93.461 |  389.59298372 |             2.234 |         PHOTON |
|     640.725 |  401.65643770 |             1.150 |         PHOTON |
|      35.646 |  431.78291738 |             2.848 |          EVENT |
|     209.705 |  433.44906527 |             0.366 |         PHOTON |
|      74.952 |  494.74551088 |             0.494 |         PHOTON |
|      31.298 |  525.00003910 |             2.806 |         PHOTON |
|     136.191 |  678.08998162 |             0.108 |         PHOTON |
|      52.569 |  696.55791092 |             1.046 |          EVENT |
|     176.825 |  836.16346514 |             1.816 |         PHOTON |
|      35.562 |  987.77442658 |             2.882 |          EVENT |
